Date,Open,High,Low,Close,Adj Close,Volume
7/30/16,654.73999,654.919983,621.419983,621.869995,621.869995,39918066
7/31/16,621.869995,627.890015,603.549988,607,607,41229298
8/1/16,607,613.75,471.359985,513.429993,513.429993,75338595
8/2/16,513.429993,573.059998,514.090027,566.440002,566.440002,47170751
8/3/16,566.440002,584.890015,559.5,576.219971,576.219971,25725471
8/4/16,576.219971,579.969971,565.809998,574.659973,574.659973,15992890
8/5/16,574.659973,596.679993,565.330017,586.450012,586.450012,14676841
8/6/16,586.450012,596.01001,580.869995,590.849976,590.849976,15491523
8/7/16,590.849976,594.23999,585.409973,589.23999,589.23999,14726811
8/8/16,589.23999,591.200012,581.099976,585.25,585.25,15304277
8/9/16,585.25,600.52002,580.869995,590.940002,590.940002,29376783
8/10/16,590.940002,599.150024,585.390015,587.840027,587.840027,23640952
8/11/16,587.840027,591.140015,582.200012,587.140015,587.140015,15009452
8/12/16,587.140015,590.070007,582.809998,584.590027,584.590027,11357750
8/13/16,584.590027,585.799988,559.929993,569.059998,569.059998,18970094
8/14/16,569.059998,574.969971,559.280029,566.950012,566.950012,19218972
8/15/16,566.950012,583.380005,563.380005,580.190002,580.190002,21634083
8/16/16,580.190002,581.099976,568.659973,572.340027,572.340027,18886741
8/17/16,572.340027,579.530029,570.830017,573.390015,573.390015,17509679
8/18/16,573.390015,577.859985,566.25,574.559998,574.559998,14701426
8/19/16,574.559998,583.5,572.280029,582.609985,582.609985,13416843
8/20/16,582.609985,585.320007,577.840027,580.659973,580.659973,8294321
8/21/16,580.659973,591.900024,577.130005,587.469971,587.469971,19658058
8/22/16,587.469971,589.869995,578.609985,583.559998,583.559998,18772369
8/23/16,583.559998,584.469971,576.820007,579.659973,579.659973,16337141
8/24/16,579.659973,580.710022,570.809998,577.960022,577.960022,18885349
8/25/16,577.960022,582.72998,575.830017,579.369995,579.369995,12329289
8/26/16,579.369995,580.409973,567.25,570.349976,570.349976,10747219
8/27/16,570.349976,576.320007,569.210022,574.97998,574.97998,7377921
8/28/16,574.97998,578.609985,571.380005,574.22998,574.22998,13760854
8/29/16,574.22998,579.940002,572.51001,577.320007,577.320007,15895354
8/30/16,577.320007,578.25,571.690002,573.880005,573.880005,14338795
8/31/16,573.880005,704.969971,569.369995,571.98999,571.98999,14860164
9/1/16,571.98999,577.599976,569.299988,575.289978,575.289978,15315755
9/2/16,575.289978,604.969971,572.640015,598.840027,598.840027,21055514
9/3/16,598.840027,615.200012,590.780029,609.549988,609.549988,18646011
9/4/16,609.549988,610.609985,598.77002,605.76001,605.76001,15369832
9/5/16,605.76001,611.950012,603.549988,610.440002,610.440002,14864563
9/6/16,610.440002,616.47998,606.23999,613.210022,613.210022,18429525
9/7/16,613.210022,629.299988,611.25,625.570007,625.570007,22710390
9/8/16,625.570007,627.580017,617.320007,623.159973,623.159973,17710151
9/9/16,623.159973,627.450012,621.070007,624.52002,624.52002,9600113
9/10/16,624.52002,630.77002,592.789978,605.609985,605.609985,22467346
9/11/16,605.609985,610.619995,603.030029,607.97998,607.97998,17058938
9/12/16,607.97998,612.030029,604.869995,608.609985,608.609985,16850869
9/13/16,608.609985,612.159973,606.390015,609.539978,609.539978,14878860
9/14/16,609.539978,610.72998,605.099976,608.109985,608.109985,13892193
9/15/16,608.109985,610.359985,605.150024,607.780029,607.780029,13353736
9/16/16,607.780029,609.609985,604.52002,607.080017,607.080017,9724490
9/17/16,607.080017,612.380005,605.219971,610.700012,610.700012,10004923
9/18/16,610.700012,612.409973,606.98999,609.849976,609.849976,12981851
9/19/16,609.849976,611.27002,605.929993,609.23999,609.23999,13809380
9/20/16,609.23999,608.820007,591.690002,597.159973,597.159973,22059386
9/21/16,597.159973,599.780029,592.830017,595.630005,595.630005,13463966
9/22/16,595.630005,603.700012,594.109985,602.919983,602.919983,15567036
9/23/16,602.919983,605.919983,600.5,602.590027,602.590027,8196210
9/24/16,602.590027,604.869995,598.349976,601.48999,601.48999,8038079
9/25/16,601.48999,608.460022,598.169983,606.539978,606.539978,16700407
9/26/16,606.539978,608.969971,601.72998,605.469971,605.469971,15534315
9/27/16,605.469971,606.900024,602.619995,604.669983,604.669983,11485005
9/28/16,604.669983,607.22998,602.01001,604.700012,604.700012,15403975
9/29/16,604.700012,608.780029,602.25,608.140015,608.140015,14534745
9/30/16,608.140015,615,607.070007,613.409973,613.409973,10415543
10/1/16,613.409973,614.210022,607.669983,610.690002,610.690002,10096653
10/2/16,610.690002,613.200012,608.469971,611.599976,611.599976,13462741
10/3/16,611.599976,612.679993,606.5,608.960022,608.960022,15300692
10/4/16,608.960022,613.650024,607.97998,611.820007,611.820007,14360536
10/5/16,611.820007,612.679993,608.539978,610.969971,610.969971,13276337
10/6/16,610.969971,619.429993,609.119995,616.030029,616.030029,20167399
10/7/16,616.030029,619.559998,614.880005,617.650024,617.650024,8467434
10/8/16,617.650024,618.349976,613.01001,615.77002,615.77002,8320759
10/9/16,615.77002,618.809998,612.76001,617.289978,617.289978,15597892
10/10/16,617.289978,642.349976,615.599976,640.450012,640.450012,35367127
10/11/16,640.450012,642.51001,632.190002,635.98999,635.98999,17240000
10/12/16,635.98999,639.52002,632.25,635.599976,635.599976,16387361
10/13/16,635.599976,640.460022,630.659973,637.919983,637.919983,20114873
10/14/16,637.919983,641.400024,635.059998,637.030029,637.030029,7970927
10/15/16,637.030029,642.179993,636.390015,640.119995,640.119995,8306925
10/16/16,640.119995,641.289978,634.890015,637.369995,637.369995,17742610
10/17/16,637.369995,639.340027,632.22998,635.340027,635.340027,15725013
10/18/16,635.340027,637.27002,624.090027,629.059998,629.059998,22379197
10/19/16,629.059998,630.830017,625.47998,628.340027,628.340027,13252110
10/20/16,628.340027,633.26001,627.580017,630.450012,630.450012,17836383
10/21/16,630.450012,659.890015,629.719971,655.47998,655.47998,24154228
10/22/16,655.47998,661.200012,648.780029,653.030029,653.030029,14418212
10/23/16,653.030029,654.320007,645.679993,650.48999,650.48999,21726106
10/24/16,650.48999,662.539978,647.650024,651,651,24179462
10/25/16,651,678.390015,651.390015,674.669983,674.669983,31949607
10/26/16,674.669983,687.880005,672.26001,682.299988,682.299988,31862181
10/27/16,682.299988,688.429993,678.630005,686.23999,686.23999,26829414
10/28/16,686.23999,720.190002,685.219971,714.950012,714.950012,38351348
10/29/16,714.950012,714.909973,689.51001,697.27002,697.27002,27793236
10/31/16,697.27002,707.210022,682.169983,698.669983,698.669983,26687188
11/1/16,698.669983,734.359985,695.200012,726.76001,726.76001,49453950
11/2/16,726.76001,735.780029,718.140015,733.51001,733.51001,28452232
11/3/16,733.51001,744.429993,670.400024,684.869995,684.869995,69067917
11/4/16,684.869995,706.640015,681.27002,702.080017,702.080017,33762721
11/5/16,702.080017,706.380005,694.030029,702.109985,702.109985,15554565
11/6/16,702.109985,714.130005,697.630005,709.909973,709.909973,18363567
11/7/16,709.909973,711.659973,698.349976,705.400024,705.400024,21797370
11/8/16,705.400024,714.630005,700.960022,710.900024,710.900024,28262235
11/9/16,710.900024,741.22998,707.130005,721.419983,721.419983,51548567
11/10/16,721.419983,723.02002,707.309998,714.570007,714.570007,23931322
11/11/16,714.570007,719.789978,711.669983,714.969971,714.969971,18386841
11/12/16,714.969971,717.369995,701.080017,704.27002,704.27002,19677656
11/13/16,704.27002,705.609985,685.01001,701.969971,701.969971,25249834
11/14/16,701.969971,708.030029,696.109985,704.559998,704.559998,26613445
11/15/16,704.559998,716.929993,697.909973,711.099976,711.099976,29562740
11/16/16,711.099976,745.97998,708.140015,740.280029,740.280029,58304902
11/17/16,740.280029,751.909973,730.080017,737.530029,737.530029,46942756
11/18/16,737.530029,751.429993,730.950012,746.960022,746.960022,29666065
11/19/16,746.960022,755.340027,737.440002,747.890015,747.890015,19276573
11/20/16,747.890015,752.26001,712.77002,728.51001,728.51001,34876785
11/21/16,728.51001,744.330017,726.549988,736.190002,736.190002,24010681
11/22/16,736.190002,754.01001,730.619995,749.340027,749.340027,33225195
11/23/16,749.340027,750.929993,731.340027,741.070007,741.070007,28258203
11/24/16,741.070007,744.23999,726.190002,735.309998,735.309998,27531777
11/25/16,735.309998,741.25,728.969971,740.390015,740.390015,21299510
11/26/16,740.390015,740.960022,725.619995,734.140015,734.140015,16682481
11/27/16,734.140015,738.289978,727.109985,729.419983,729.419983,15735824
11/28/16,729.419983,738.099976,727.73999,733.299988,733.299988,25153838
11/29/16,733.299988,737.039978,727.780029,732.559998,732.559998,24030304
11/30/16,732.559998,745.390015,730.570007,742.48999,742.48999,29210351
